"This file contains political files uploaded by KYW-TV during the years 2014 as of 2014-11-06 16:30:29.302013. This station serves PHILADELPHIA, PA in the PHILADELPHIA market and FCC's partyName--generally the owner-- is CBS BROADCASTING INC.. FCC records give the rfChannel as 26, virtualChannel as 3 and network affiiliate as CBS."
filetype,order_number,print_date,agency_name,advertiser_name,agency_contact,product,flight_date_start,flight_date_end,number_of_spots,gross_amount,file_url,upload_time,callsign,file_size,fcc_id,pdf_location,txt_location,Tagged,Producer,Creator,Encrypted,Author,File size,Optimized,PDF version,Title,Page size,CreationDate,Pages
contract,1041-90027-1,05/14/14,HULSEN MEDIA LLC,MARJORIE MARGOLIES FOR CONGRESS,MEENAH HULSEN, CANDIDATE,05/16/14,05/16/14,5,3555.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D13/MARJORIE%20MARGOLIES/KYW%20MARJORIE%20MARGOLIES%20D%20HOUSE%2DPA%2DCD%2D13%20ORD90027%20FED%20TRACT%20%2814006976345613%29.pdf,2014-05-21 14:40:00,KYW-TV,78.35 Kb,14006976345613,pdfs/14006976345613.pdf,txts/14006976345613.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,zrpflieger,80234 bytes,no,1.3,(\(KYW-TV \)TVContractPrint_e0b425dd-380a-4091-aed8-29b7e7bedec1.pdf),612 x 792 pts (letter),Tue May 20 17:27:07 2014,1
other,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D13/VALERIE%20ARKOOSH/KYW%20VALERIE%20ARKOOSH%20D%20HOUSE%2DPA%2DCD%2D13%20BASEFILE%20FED%20NAB%20%2813980942709054%29.pdf,2014-04-21 11:31:00,KYW-TV,261.27 Kb,13980942709054,pdfs/13980942709054.pdf,txts/13980942709054.txt,no,,Hewlett Packard MFP,no,,267543 bytes,yes,1.4,,792 x 612 pts (letter),Mon Apr 14 16:41:43 2014,2
other,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D13/VALERIE%20ARKOOSH/KYW%20VALERIE%20ARKOOSH%20D%20HOUSE%2DPA%2DCD%2D13%20BASEFILE%20FED%20PIQ%20%2814013688036758%29.pdf,2014-05-29 09:06:00,KYW-TV,56.87 Kb,14013688036758,pdfs/14013688036758.pdf,txts/14013688036758.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,58230 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Thu May 29 09:06:15 2014,1
invoice,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D13/VALERIE%20ARKOOSH/KYW%20VALERIE%20ARKOOSH%20D%20HOUSE%2DPA%2DCD%2D13%20ORD89666%20FED%20INVOICE%20%2814019082267291%29.pdf,2014-06-04 14:57:00,KYW-TV,104.59 Kb,14019082267291,pdfs/14019082267291.pdf,txts/14019082267291.txt,no,PDFsharp 1.2.1269-g (www.pdfsharp.com),PDFsharp 1.2.1269-g (www.pdfsharp.com),no,,107102 bytes,yes,1.6,,792 x 612 pts (letter),Wed Jun  4 14:56:18 2014,12
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D13/VALERIE%20ARKOOSH/KYW%20VALERIE%20ARKOOSH%20D%20HOUSE%2DPA%2DCD%2D13%20ORD89666%20FED%20ORDER%20%2813980942702490%29.pdf,2014-04-21 11:31:00,KYW-TV,48.41 Kb,13980942702490,pdfs/13980942702490.pdf,txts/13980942702490.txt,no,Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,Microsoft Reporting Services 10.0.0.0,no,,49568 bytes,yes,1.3,Order Item Summary Multi,612 x 792 pts (letter),Wed Apr 16 14:12:40 2014,6
contract,1041-89666-1,04/15/14,ADELSTEIN LISTON,VAL ARKOOSH FOR CONGRESS,CANDY KYLE, EST 3929 VAL KOOSH D PA-CD-13,05/12/14,05/25/14,58,123840.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D13/VALERIE%20ARKOOSH/KYW%20VALERIE%20ARKOOSH%20D%20HOUSE%2DPA%2DCD%2D13%20ORD89666%20FED%20TRACT%20%2813980942706035%29.pdf,2014-04-21 11:31:00,KYW-TV,98.87 Kb,13980942706035,pdfs/13980942706035.pdf,txts/13980942706035.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,zrpflieger,101246 bytes,no,1.3,(\(KYW-TV \)TVContractPrint_6509293f-516c-490f-bdf8-e8fec0bcf9fc.pdf),612 x 792 pts (letter),Wed Apr 16 14:13:51 2014,4
invoice,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D13/VALERIE%20ARKOOSH/KYW%20VALERIE%20ARKOOSH%20D%20HOUSE%2DPA%2DCD%2D13%20ORD89820%20FED%20INVOICE%20%2814005401095716%29.pdf,2014-05-19 18:55:00,KYW-TV,75.41 Kb,14005401095716,pdfs/14005401095716.pdf,txts/14005401095716.txt,no,PDFsharp 1.2.1269-g (www.pdfsharp.com),PDFsharp 1.2.1269-g (www.pdfsharp.com),no,,77215 bytes,yes,1.6,,792 x 612 pts (letter),Sat May 17 22:11:36 2014,7
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D13/VALERIE%20ARKOOSH/KYW%20VALERIE%20ARKOOSH%20D%20HOUSE%2DPA%2DCD%2D13%20ORD89820%20FED%20ORDER%20%2814005401097735%29.pdf,2014-05-19 18:55:00,KYW-TV,38.43 Kb,14005401097735,pdfs/14005401097735.pdf,txts/14005401097735.txt,no,Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,Microsoft Reporting Services 10.0.0.0,no,,39350 bytes,yes,1.3,Order Item Summary Multi,612 x 792 pts (letter),Sat May 17 22:12:38 2014,4
contract,1041-89820-1,04/25/14,ADELSTEIN LISTON,VAL ARKOOSH FOR CONGRESS,CANDY KYLE, EST 3937 VAL KOOSH D PA-CD-13,04/28/14,05/04/14,36,97875.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D13/VALERIE%20ARKOOSH/KYW%20VALERIE%20ARKOOSH%20D%20HOUSE%2DPA%2DCD%2D13%20ORD89820%20FED%20TRACT%20%2814005401093550%29.pdf,2014-05-19 18:55:00,KYW-TV,84.96 Kb,14005401093550,pdfs/14005401093550.pdf,txts/14005401093550.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,zrpflieger,86997 bytes,no,1.3,(\(KYW-TV \)TVContractPrint_937c7ba1-bc28-4ec9-b994-2aa9dc68529f.pdf),612 x 792 pts (letter),Sat May 17 22:12:57 2014,2
invoice,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D13/VALERIE%20ARKOOSH/KYW%20VALERIE%20ARKOOSH%20D%20HOUSE%2DPA%2DCD%2D13%20ORD89825%20FED%20INVOICE%20%2814005401101424%29.pdf,2014-05-19 18:55:00,KYW-TV,57.69 Kb,14005401101424,pdfs/14005401101424.pdf,txts/14005401101424.txt,no,PDFsharp 1.2.1269-g (www.pdfsharp.com),PDFsharp 1.2.1269-g (www.pdfsharp.com),no,,59073 bytes,yes,1.6,,792 x 612 pts (letter),Sat May 17 22:29:07 2014,4
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D13/VALERIE%20ARKOOSH/KYW%20VALERIE%20ARKOOSH%20D%20HOUSE%2DPA%2DCD%2D13%20ORD89825%20FED%20ORDER%20%2814005401073139%29.pdf,2014-05-19 18:55:00,KYW-TV,77.11 Kb,14005401073139,pdfs/14005401073139.pdf,txts/14005401073139.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,zrpflieger,78960 bytes,no,1.3,Order Item Summary Multi_d9754a10-2c19-4a9b-bb29-01eeebf2cbd3.pdf,612 x 792 pts (letter),Sat May 17 22:29:55 2014,2
contract,1041-89825-1,04/25/14,ADELSTEIN LISTON,VAL ARKOOSH FOR CONGRESS,CANDY KYLE, EST 3938 VAL KOOSH D PA-CD-13,05/05/14,05/11/14,14,46440.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D13/VALERIE%20ARKOOSH/KYW%20VALERIE%20ARKOOSH%20D%20HOUSE%2DPA%2DCD%2D13%20ORD89825%20FED%20TRACT%20%2814005401099574%29.pdf,2014-05-19 18:55:00,KYW-TV,83.51 Kb,14005401099574,pdfs/14005401099574.pdf,txts/14005401099574.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,zrpflieger,85511 bytes,no,1.3,(\(KYW-TV \)TVContractPrint_cdda22d8-dea4-4dfd-948b-71674d16c33e.pdf),612 x 792 pts (letter),Sat May 17 22:29:44 2014,2
invoice,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D13/VALERIE%20ARKOOSH/KYW%20VALERIE%20ARKOOSH%20D%20HOUSE%2DPA%2DCD%2D13%20ORD89897%20FED%20INVOICE%20%2814005401080609%29.pdf,2014-05-19 18:55:00,KYW-TV,59.57 Kb,14005401080609,pdfs/14005401080609.pdf,txts/14005401080609.txt,no,PDFsharp 1.2.1269-g (www.pdfsharp.com),PDFsharp 1.2.1269-g (www.pdfsharp.com),no,,61002 bytes,yes,1.6,,792 x 612 pts (letter),Sat May 17 22:30:35 2014,4
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D13/VALERIE%20ARKOOSH/KYW%20VALERIE%20ARKOOSH%20D%20HOUSE%2DPA%2DCD%2D13%20ORD89897%20FED%20ORDER%20%2814005401076999%29.pdf,2014-05-19 18:55:00,KYW-TV,31.66 Kb,14005401076999,pdfs/14005401076999.pdf,txts/14005401076999.txt,no,Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,Microsoft Reporting Services 10.0.0.0,no,,32421 bytes,yes,1.3,Order Item Summary Multi,612 x 792 pts (letter),Sat May 17 22:30:58 2014,2
contract,1041-89897-1,05/02/14,ADELSTEIN LISTON,VAL ARKOOSH FOR CONGRESS,CANDY KYLE, 3946,05/05/14,05/11/14,18,43200.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D13/VALERIE%20ARKOOSH/KYW%20VALERIE%20ARKOOSH%20D%20HOUSE%2DPA%2DCD%2D13%20ORD89897%20FED%20TRACT%20%2814005401086779%29.pdf,2014-05-19 18:55:00,KYW-TV,84.68 Kb,14005401086779,pdfs/14005401086779.pdf,txts/14005401086779.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,zrpflieger,86708 bytes,no,1.3,(\(KYW-TV \)TVContractPrint_eb6c2d7e-7e86-4e9d-a239-b031758cab58.pdf),612 x 792 pts (letter),Sat May 17 22:31:07 2014,2
other,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D6/MANAN%20TRIVEDI/KYW%20MANAN%20TRIVEDI%20D%20HOUSE%2DPA%2DCD%2D6%20BASEFILE%20FED%20PIQ%20%2814139871964976%29.pdf,2014-10-22 10:13:00,KYW-TV,57.09 Kb,14139871964976,pdfs/14139871964976.pdf,txts/14139871964976.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,58462 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Wed Oct 22 09:13:12 2014,1
contract,1041-92267-1,10/21/14,CANAL PARTNERS MEDIA LLC,MANAN TRIVEDI FOR CONGRESS,Chris Brimer, Trivedi for Congress,10/22/14,10/26/14,21,11510.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D6/MANAN%20TRIVEDI/KYW%20MANAN%20TRIVEDI%20D%20HOUSE%2DPA%2DCD%2D6%20ORD92267%20FED%20CONTRACT%20%2814139871948830%29.pdf,2014-10-22 10:13:00,KYW-TV,76.87 Kb,14139871948830,pdfs/14139871948830.pdf,txts/14139871948830.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,78712 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Wed Oct 22 09:30:28 2014,1
invoice,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D6/MANAN%20TRIVEDI/KYW%20MANAN%20TRIVEDI%20D%20HOUSE%2DPA%2DCD%2D6%20ORD92267%20FED%20INVOICE%20%2814152929710367%29.pdf,2014-11-06 11:56:00,KYW-TV,56.88 Kb,14152929710367,pdfs/14152929710367.pdf,txts/14152929710367.txt,no,PDFsharp 1.2.1269-g (www.pdfsharp.com),PDFsharp 1.2.1269-g (www.pdfsharp.com),no,,58241 bytes,yes,1.6,,792 x 612 pts (letter),Thu Nov  6 11:44:38 2014,4
other,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D6/MANAN%20TRIVEDI/KYW%20MANAN%20TRIVEDI%20D%20HOUSE%2DPA%2DCD%2D6%20ORD92267%20FED%20NAB%20%2814139871957330%29.pdf,2014-10-22 10:13:00,KYW-TV,256.04 Kb,14139871957330,pdfs/14139871957330.pdf,txts/14139871957330.txt,no,TCPDF 5.9.009 (http://www.tcpdf.org) (TCPDF),,no,,262187 bytes,yes,1.7,,595.28 x 841.89 pts (A4),Tue Oct 21 08:54:57 2014,2
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D6/MANAN%20TRIVEDI/KYW%20MANAN%20TRIVEDI%20D%20HOUSE%2DPA%2DCD%2D6%20ORD92267%20FED%20ORDER%20%2814139871952344%29.pdf,2014-10-22 10:13:00,KYW-TV,29.86 Kb,14139871952344,pdfs/14139871952344.pdf,txts/14139871952344.txt,no,Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,Microsoft Reporting Services 10.0.0.0,no,,30573 bytes,yes,1.3,Order Item Summary Multi,612 x 792 pts (letter),Wed Oct 22 09:29:44 2014,2
contract,1041-92360-1,10/23/14,CANAL PARTNERS MEDIA LLC,MANAN TRIVEDI FOR CONGRESS,Chris Brimer, D HOUSE PA 6,10/27/14,11/04/14,53,30570.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D6/MANAN%20TRIVEDI/KYW%20MANAN%20TRIVEDI%20D%20HOUSE%2DPA%2DCD%2D6%20ORD92360%20FED%20CONTRACT%20%2814141606701715%29.pdf,2014-10-24 10:24:00,KYW-TV,82.64 Kb,14141606701715,pdfs/14141606701715.pdf,txts/14141606701715.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,84621 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Fri Oct 24 09:46:18 2014,2
other,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D6/MANAN%20TRIVEDI/KYW%20MANAN%20TRIVEDI%20D%20HOUSE%2DPA%2DCD%2D6%20ORD92360%20FED%20NAB%20%2814141607962391%29.pdf,2014-10-24 10:26:00,KYW-TV,256.05 Kb,14141607962391,pdfs/14141607962391.pdf,txts/14141607962391.txt,no,TCPDF 5.9.009 (http://www.tcpdf.org) (TCPDF),,no,,262194 bytes,yes,1.7,,595.28 x 841.89 pts (A4),Thu Oct 23 14:10:37 2014,2
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D6/MANAN%20TRIVEDI/KYW%20MANAN%20TRIVEDI%20D%20HOUSE%2DPA%2DCD%2D6%20ORD92360%20FED%20ORDER%20%2814141606704792%29.pdf,2014-10-24 10:24:00,KYW-TV,34.75 Kb,14141606704792,pdfs/14141606704792.pdf,txts/14141606704792.txt,no,Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,Microsoft Reporting Services 10.0.0.0,no,,35581 bytes,yes,1.3,Order Item Summary Multi,612 x 792 pts (letter),Fri Oct 24 09:46:00 2014,3
other,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D6/RYAN%20COSTELLO/KYW%20RYAN%20COSTELLO%20R%20HOUSE%2DPA%2DCD%2D6%20BASEFILE%20FED%20NAB%20%2814129465839597%29.pdf,2014-10-10 09:09:00,KYW-TV,1.83 Mb,14129465839597,pdfs/14129465839597.pdf,txts/14129465839597.txt,no,Mac OS X 10.9.4 Quartz PDFContext,,no,,1919677 bytes,yes,1.3,,612 x 792 pts (letter),Wed Sep 10 13:09:12 2014,4
other,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D6/RYAN%20COSTELLO/KYW%20RYAN%20COSTELLO%20R%20HOUSE%2DPA%2DCD%2D6%20BASEFILE%20FED%20PIQ%20%2814129465812772%29.pdf,2014-10-10 09:09:00,KYW-TV,57.11 Kb,14129465812772,pdfs/14129465812772.pdf,txts/14129465812772.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,58478 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Fri Oct 10 09:05:44 2014,1
contract,1041-92161-1,10/09/14,STRATEGIC MEDIA PLACEMENT,RYAN COSTELLO FOR CONGRESS, , R HOUSE PA 6,10/10/14,10/23/14,40,29650.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D6/RYAN%20COSTELLO/KYW%20RYAN%20COSTELLO%20R%20HOUSE%2DPA%2DCD%2D6%20ORD92162%20FED%20CONTRACT%20%2814129465814946%29.pdf,2014-10-10 09:09:00,KYW-TV,89.21 Kb,14129465814946,pdfs/14129465814946.pdf,txts/14129465814946.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,91350 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Fri Oct 10 08:46:20 2014,3
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D6/RYAN%20COSTELLO/KYW%20RYAN%20COSTELLO%20R%20HOUSE%2DPA%2DCD%2D6%20ORD92162%20FED%20ORDER%20%2814129465817308%29.pdf,2014-10-10 09:09:00,KYW-TV,37.33 Kb,14129465817308,pdfs/14129465817308.pdf,txts/14129465817308.txt,no,Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,Microsoft Reporting Services 10.0.0.0,no,,38231 bytes,yes,1.3,Order Item Summary Multi,612 x 792 pts (letter),Fri Oct 10 08:45:47 2014,4
contract,1041-92353-2,10/23/14,STRATEGIC MEDIA PLACEMENT,RYAN COSTELLO FOR CONGRESS, , R HOUSE PA 6,10/24/14,10/28/14,26,13100.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D6/RYAN%20COSTELLO/KYW%20RYAN%20COSTELLO%20R%20HOUSE%2DPA%2DCD%2D6%20ORD92353%20FED%20CONTRACT%20%2814141608961954%29.pdf,2014-10-24 10:28:00,KYW-TV,84.07 Kb,14141608961954,pdfs/14141608961954.pdf,txts/14141608961954.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,86083 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Fri Oct 24 09:47:18 2014,2
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D6/RYAN%20COSTELLO/KYW%20RYAN%20COSTELLO%20R%20HOUSE%2DPA%2DCD%2D6%20ORD92353%20FED%20ORDER%20%2814141608965776%29.pdf,2014-10-24 10:28:00,KYW-TV,34.68 Kb,14141608965776,pdfs/14141608965776.pdf,txts/14141608965776.txt,no,Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,Microsoft Reporting Services 10.0.0.0,no,,35508 bytes,yes,1.3,Order Item Summary Multi,612 x 792 pts (letter),Fri Oct 24 09:46:49 2014,3
contract,1041-92430-1,10/28/14,STRATEGIC MEDIA PLACEMENT,RYAN COSTELLO FOR CONGRESS, , 4295,10/29/14,11/03/14,19,17280.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D6/RYAN%20COSTELLO/KYW%20RYAN%20COSTELLO%20R%20HOUSE%2DPA%2DCD%2D6%20ORD92430%20FED%20CONTRACT%20%2814145945848479%29.pdf,2014-10-29 10:56:00,KYW-TV,82.33 Kb,14145945848479,pdfs/14145945848479.pdf,txts/14145945848479.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,84301 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Wed Oct 29 10:35:15 2014,2
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D6/RYAN%20COSTELLO/KYW%20RYAN%20COSTELLO%20R%20HOUSE%2DPA%2DCD%2D6%20ORD92430%20FED%20ORDER%20%2814145945842990%29.pdf,2014-10-29 10:56:00,KYW-TV,32.19 Kb,14145945842990,pdfs/14145945842990.pdf,txts/14145945842990.txt,no,Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,Microsoft Reporting Services 10.0.0.0,no,,32967 bytes,yes,1.3,Order Item Summary Multi,612 x 792 pts (letter),Wed Oct 29 10:34:50 2014,3
other,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D8/KEVIN%20STROUSE/KYW%20KEVIN%20STROUSE%20D%20HOUSE%2DPA%2DCD%2D8%20BASEFILE%20FED%20NAB%20%2814065722281319%29.pdf,2014-07-28 14:30:00,KYW-TV,155.55 Kb,14065722281319,pdfs/14065722281319.pdf,txts/14065722281319.txt,no,eCopy ShareScan,OmniPage CSDK 18,no,scanner@gmmb.com,159281 bytes,yes,1.6,,612 x 792 pts (letter),Thu Jun 26 11:12:45 2014,4
other,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D8/KEVIN%20STROUSE/KYW%20KEVIN%20STROUSE%20D%20HOUSE%2DPA%2DCD%2D8%20BASEFILE%20FED%20PIQ%20%2814105334234479%29.pdf,2014-09-12 10:50:00,KYW-TV,57.12 Kb,14105334234479,pdfs/14105334234479.pdf,txts/14105334234479.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,58487 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Fri Sep 12 09:11:54 2014,1
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D8/KEVIN%20STROUSE/KYW%20KEVIN%20STROUSE%20D%20HOUSE%2DPA%2DCD%2D8%20ORD91673%20FED%20ORDER%20%2814105334237031%29.pdf,2014-09-12 10:50:00,KYW-TV,36.19 Kb,14105334237031,pdfs/14105334237031.pdf,txts/14105334237031.txt,no,Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,Microsoft Reporting Services 10.0.0.0,no,,37059 bytes,yes,1.3,Order Item Summary Multi,612 x 792 pts (letter),Fri Sep 12 08:48:06 2014,3
contract,1041-91673-1,09/11/14,"GMMB, INC.",KEVIN STROUSE FOR CONGRESS,Maura GILROY, 3251,10/21/14,10/27/14,36,46265.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D8/KEVIN%20STROUSE/KYW%20KEVIN%20STROUSE%20D%20HOUSE%2DPA%2DCD%2D8%20ORD91673%20FED%20TRACT%20%2814105334239099%29.pdf,2014-09-12 10:50:00,KYW-TV,82.77 Kb,14105334239099,pdfs/14105334239099.pdf,txts/14105334239099.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,84758 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Fri Sep 12 08:48:49 2014,2
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D8/KEVIN%20STROUSE/KYW%20KEVIN%20STROUSE%20D%20HOUSE%2DPA%2DCD%2D8%20ORD91674%20FED%20ORDER%20%2814105334241274%29.pdf,2014-09-12 10:50:00,KYW-TV,34.15 Kb,14105334241274,pdfs/14105334241274.pdf,txts/14105334241274.txt,no,Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,Microsoft Reporting Services 10.0.0.0,no,,34970 bytes,yes,1.3,Order Item Summary Multi,612 x 792 pts (letter),Fri Sep 12 08:49:23 2014,3
contract,1041-91674-1,09/11/14,"GMMB, INC.",KEVIN STROUSE FOR CONGRESS,Maura GILROY, 3252,10/28/14,11/03/14,25,27425.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D8/KEVIN%20STROUSE/KYW%20KEVIN%20STROUSE%20D%20HOUSE%2DPA%2DCD%2D8%20ORD91674%20FED%20TRACT%20%2814105334243312%29.pdf,2014-09-12 10:50:00,KYW-TV,82.20 Kb,14105334243312,pdfs/14105334243312.pdf,txts/14105334243312.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,84175 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Fri Sep 12 08:49:37 2014,2
other,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D8/MIKE%20FITZPATRICK/KYW%20MIKE%20FITZPATRICK%20R%20HOUSE%2DPA%2DCD%2D8%20BASEFILE%20FED%20NAB%20%2814127858101234%29.pdf,2014-10-08 12:30:00,KYW-TV,217.72 Kb,14127858101234,pdfs/14127858101234.pdf,txts/14127858101234.txt,no,,Canon,no,,222950 bytes,yes,1.5,,612 x 792 pts (letter),Tue Oct  7 09:40:21 2014,4
other,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/PA%20CD%2D8/MIKE%20FITZPATRICK/KYW%20MIKE%20FITZPATRICK%20R%20HOUSE%2DPA%2DCD%2D8%20BASEFILE%20FED%20PIQ%20%2814127858092632%29.pdf,2014-10-08 12:30:00,KYW-TV,57.48 Kb,14127858092632,pdfs/14127858092632.pdf,txts/14127858092632.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,58864 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Wed Oct  8 12:11:45 2014,1
